"Czas (s)";"Napięcie (V)"
20.000;0.871
20.050;0.865
20.100;0.859
20.150;0.853
20.200;0.848
20.250;0.842
20.300;0.836
20.350;0.832
20.400;0.827
20.450;0.822
20.500;0.816
20.550;0.810
20.600;0.804
20.650;0.799
20.700;0.794
20.750;0.790
20.800;0.785
20.850;0.779
20.900;0.774
20.950;0.769
21.000;0.764
21.050;0.759
21.100;0.754
21.150;0.749
21.200;0.742
21.250;0.737
21.300;0.732
21.350;0.727
21.400;0.722
21.450;0.718
21.500;0.714
21.550;0.709
21.600;0.704
21.650;0.699
21.700;0.695
21.750;0.690
21.800;0.686
21.850;0.681
21.900;0.677
21.950;0.672
22.000;0.667
22.050;0.664
22.100;0.659
22.150;0.655
22.200;0.651
22.250;0.646
22.300;0.642
22.350;0.637
22.400;0.633
22.450;0.629
22.500;0.625
22.550;0.620
22.600;0.616
22.650;0.612
22.700;0.608
22.750;0.605
22.800;0.600
22.850;0.596
22.900;0.592
22.950;0.589
23.000;0.585
23.050;0.581
23.100;0.577
23.150;0.573
23.200;0.570
23.250;0.566
23.300;0.562
23.350;0.558
23.400;0.554
23.450;0.551
23.500;0.548
23.550;0.545
23.600;0.541
23.650;0.537
23.700;0.533
23.750;0.529
23.800;0.526
23.850;0.523
23.900;0.520
23.950;0.517
24.000;0.513
24.050;0.509
24.100;0.506
24.150;0.502
24.200;0.499
24.250;0.496
24.300;0.493
24.350;0.489
24.400;0.486
24.450;0.483
24.500;0.479
24.550;0.477
24.600;0.474
24.650;0.471
24.700;0.468
24.750;0.465
24.800;0.462
24.850;0.459
24.900;0.455
24.950;0.453
25.000;0.450
25.050;0.447
25.100;0.443
25.150;0.440
25.200;0.437
25.250;0.434
25.300;0.432
25.350;0.430
25.400;0.427
25.450;0.424
25.500;0.421
25.550;0.418
25.600;0.416
25.650;0.414
25.700;0.410
25.750;0.408
25.800;0.405
25.850;0.402
25.900;0.400
25.950;0.398
26.000;0.395
26.050;0.393
26.100;0.390
26.150;0.387
26.200;0.385
26.250;0.382
26.300;0.380
26.350;0.377
26.400;0.375
26.450;0.372
26.500;0.370
26.550;0.368
26.600;0.365
26.650;0.363
26.700;0.361
26.750;0.358
26.800;0.355
26.850;0.353
26.900;0.351
26.950;0.348
27.000;0.346
27.050;0.345
27.100;0.343
27.150;0.341
27.200;0.338
27.250;0.336
27.300;0.334
27.350;0.332
27.400;0.330
27.450;0.328
27.500;0.326
27.550;0.322
27.600;0.320
27.650;0.318
27.700;0.316
27.750;0.314
27.800;0.312
27.850;0.310
27.900;0.308
27.950;0.306
28.000;0.304
28.050;0.302
28.100;0.301
28.150;0.299
28.200;0.298
28.250;0.296
28.300;0.293
28.350;0.291
28.400;0.290
28.450;0.287
28.500;0.286
28.550;0.284
28.600;0.282
28.650;0.280
28.700;0.278
28.750;0.276
28.800;0.275
28.850;0.274
28.900;0.272
28.950;0.270
29.000;0.267
29.050;0.267
29.100;0.264
29.150;0.262
29.200;0.261
29.250;0.259
29.300;0.257
29.350;0.255
29.400;0.252
29.450;0.251
29.500;0.250
29.550;0.248
29.600;0.246
29.650;0.245
29.700;0.243
29.750;0.242
29.800;0.240
29.850;0.238
29.900;0.236
29.950;0.235
30.000;0.234
30.050;0.231
30.100;0.230
30.150;0.228
30.200;0.227
30.250;0.226
30.300;0.224
30.350;0.223
30.400;0.222
30.450;0.220
30.500;0.218
30.550;0.217
30.600;0.216
30.650;0.215
30.700;0.214
30.750;0.212
30.800;0.210
30.850;0.209
