L/4 [deg],A [deg],I [V]
60,-90,1.4
,-85,1.56
,-80,1.67
,-75,1.7
,-70,1.864
,-65,1.937
,-60,2.135
,-55,2.305
,-50,2.34
,-45,2.591
,-40,2.584
,-35,2.766
,-30,2.757
,-25,2.789
,-20,2.867
,-15,2.854
,-10,2.694
,-5,2.63
,0,2.444
,5,2.373
,10,2.227
,15,2.067
,20,1.895
,25,1.822
,30,1.572
,35,1.464
,40,1.347
,45,1.3
,50,1.191
,55,1.133
,60,1.09
,65,1.021
,70,1.036
,75,1.008
,80,1.07
,85,1.13
,90,1.232
