"Czas (s) Seria nr 1";"Napięcie (V) Seria nr 1"
19,750;3,005
19,800;2,994
19,850;2,986
19,900;2,975
19,950;2,966
20,000;2,956
20,050;2,945
20,100;2,936
20,150;2,926
20,200;2,917
20,250;2,907
20,300;2,898
20,350;2,889
20,400;2,879
20,450;2,870
20,500;2,861
20,550;2,851
20,600;2,841
20,650;2,832
20,700;2,823
20,750;2,814
20,800;2,804
20,850;2,794
20,900;2,786
20,950;2,777
21,000;2,768
21,050;2,758
21,100;2,749
21,150;2,740
21,200;2,732
21,250;2,723
21,300;2,715
21,350;2,705
21,400;2,694
21,450;2,685
21,500;2,677
21,550;2,667
21,600;2,660
21,650;2,651
21,700;2,641
21,750;2,632
21,800;2,624
21,850;2,615
21,900;2,606
21,950;2,598
22,000;2,589
22,050;2,581
22,100;2,572
22,150;2,563
22,200;2,555
22,250;2,546
22,300;2,539
22,350;2,530
22,400;2,522
22,450;2,513
22,500;2,505
22,550;2,497
22,600;2,489
22,650;2,480
22,700;2,473
22,750;2,464
22,800;2,456
22,850;2,448
22,900;2,441
22,950;2,433
23,000;2,424
23,050;2,416
23,100;2,409
23,150;2,399
23,200;2,391
23,250;2,384
23,300;2,377
23,350;2,369
23,400;2,361
23,450;2,354
23,500;2,346
23,550;2,338
23,600;2,330
23,650;2,322
23,700;2,315
23,750;2,306
23,800;2,300
23,850;2,292
23,900;2,284
23,950;2,277
24,000;2,269
24,050;2,261
24,100;2,255
24,150;2,247
24,200;2,241
24,250;2,233
24,300;2,227
24,350;2,218
24,400;2,209
24,450;2,201
24,500;2,195
24,550;2,186
24,600;2,180
24,650;2,173
24,700;2,166
24,750;2,158
24,800;2,151
24,850;2,143
24,900;2,136
24,950;2,130
25,000;2,123
25,050;2,116
25,100;2,109
25,150;2,102
25,200;2,095
25,250;2,087
25,300;2,080
25,350;2,073
25,400;2,066
25,450;2,059
25,500;2,053
25,550;2,048
25,600;2,041
25,650;2,033
25,700;2,026
25,750;2,019
25,800;2,013
25,850;2,007
25,900;2,001
25,950;1,993
26,000;1,987
26,050;1,980
26,100;1,973
26,150;1,966
26,200;1,961
26,250;1,954
26,300;1,948
26,350;1,940
26,400;1,935
26,450;1,929
26,500;1,923
26,550;1,915
26,600;1,908
26,650;1,902
26,700;1,896
26,750;1,891
26,800;1,885
26,850;1,879
26,900;1,872
26,950;1,866
27,000;1,860
27,050;1,854
27,100;1,848
27,150;1,841
27,200;1,835
27,250;1,829
27,300;1,824
27,350;1,817
27,400;1,812
27,450;1,806
27,500;1,800
27,550;1,795
27,600;1,789
27,650;1,782
27,700;1,776
27,750;1,770
27,800;1,765
27,850;1,759
27,900;1,754
27,950;1,748
28,000;1,743
28,050;1,737
28,100;1,731
28,150;1,724
28,200;1,718
28,250;1,712
28,300;1,707
28,350;1,700
28,400;1,695
28,450;1,689
28,500;1,684
28,550;1,680
28,600;1,673
28,650;1,667
28,700;1,661
28,750;1,655
28,800;1,650
28,850;1,646
28,900;1,641
28,950;1,635
29,000;1,629
29,050;1,624
29,100;1,618
29,150;1,613
29,200;1,607
29,250;1,601
29,300;1,596
29,350;1,591
29,400;1,586
29,450;1,581
29,500;1,576
29,550;1,570
29,600;1,565
29,650;1,560
29,700;1,556
29,750;1,551
29,800;1,546
29,850;1,540
29,900;1,535
29,950;1,529
30,000;1,524
30,050;1,520
30,100;1,515
30,150;1,510
30,200;1,506
30,250;1,500
30,300;1,495
30,350;1,490
30,400;1,485
30,450;1,479
30,500;1,476
30,550;1,470
30,600;1,467
30,650;1,461
30,700;1,456
30,750;1,451
30,800;1,446
30,850;1,442
30,900;1,437
30,950;1,433
31,000;1,428
31,050;1,422
31,100;1,418
31,150;1,413
31,200;1,408
31,250;1,404
31,300;1,400
31,350;1,395
31,400;1,390
31,450;1,386
31,500;1,382
31,550;1,377
31,600;1,373
31,650;1,367
31,700;1,364
31,750;1,358
31,800;1,354
31,850;1,349
31,900;1,346
31,950;1,341
32,000;1,337
32,050;1,332
32,100;1,327
32,150;1,323
32,200;1,319
32,250;1,316
32,300;1,311
32,350;1,308
32,400;1,303
32,450;1,298
32,500;1,294
32,550;1,289
32,600;1,285
32,650;1,281
32,700;1,277
32,750;1,274
32,800;1,269
32,850;1,264
32,900;1,261
32,950;1,256
33,000;1,252
33,050;1,248
33,100;1,244
33,150;1,240
33,200;1,235
33,250;1,230
33,300;1,226
33,350;1,221
33,400;1,218
33,450;1,213
33,500;1,209
33,550;1,205
33,600;1,202
33,650;1,198
33,700;1,195
33,750;1,190
33,800;1,186
33,850;1,182
