L/4 [deg],A [deg],I [V]
30,-90,1.186
,-85,1.047
,-80,0.902
,-75,0.804
,-70,0.802
,-65,0.78
,-60,0.879
,-55,1.02
,-50,1.124
,-45,1.366
,-40,1.477
,-35,1.705
,-30,2.008
,-25,2.172
,-20,2.435
,-15,2.666
,-10,2.767
,-5,2.951
,0,3.067
,5,3.256
,10,3.259
,15,3.3
,20,3.42
,25,3.48
,30,3.39
,35,3.271
,40,3.162
,45,3.011
,50,2.825
,55,2.552
,60,2.376
,65,2.056
,70,1.883
,75,1.59
,80,1.437
,85,1.23
,90,1.067
